compound,sentence_type,Meaning,sentence,pic_sentence
green fingers,literal,"Fingers stained green from handling plants, paint, or other materials.",The toddler ran in and proudly held up a picture of a tree as her green fingers threatened to smear paint on the kitchen walls and cupboards.,"A playful toddler holding a painting of a tree, with green paint covering her fingers, surrounded by splatters of paint on the table and floor, emphasizing the literal mess"
green fingers,idiomatic,A natural talent for gardening and growing plants successfully.,"Her green fingers transformed the barren backyard into a vibrant, lush garden in just a few months.","A thriving garden with vibrant flowers and healthy vegetables, and a smiling gardener tending to the plants, symbolizing their natural talent for gardening."
ancient history,literal,The history of ancient civilizations like Greece and Rome.,"This course will suit anyone fascinated by Greece and Rome, who recognises the continuing influence of ancient history on the modern world.","A museum exhibit showcasing ancient Greek and Roman artifacts like amphoras, statues, and scrolls, with a timeline display."
ancient history,idiomatic,Something that is no longer relevant or important.,That argument is ancient history now; let's focus on the future.,"Two individuals shaking hands with a calendar showing past dates crossed out in the background, symbolizing reconciliation and leaving the past behind."
banana republic,idiomatic,A politically unstable country with an economy dependent on exporting a limited-resource product.,"They are a boogeyman he scares you with while he colludes with your enemies, turns your country into a banana republic and uses the office to enrich himself.",A chaotic political scene with officials arguing and large cargo ships loaded with bananas symbolizing economic dependency.
banana republic,literal,A republic heavily involved in banana production.,The banana republic's economy was thriving due to its high banana exports to neighboring countries.,"A tropical landscape filled with banana plantations, farmers harvesting bananas, and cargo trucks loaded with fruit."
devil's advocate,literal,An advocate or lawyer who represents the Devil in a fictional or religious context.,"The manga follows Hinata, who gives up his job as the Devil's advocate and abandons the afterlife to pursue his dream of opening an American diner.","A courtroom with a fiery backdrop, showing a lawyer in dark robes defending a shadowy, devil-like figure."
devil's advocate,idiomatic,Someone who argues against a point for the sake of debate or to test its validity.,"Playing devil's advocate, she questioned the feasibility of the proposed business plan even though she supported it.","A person in a meeting, surrounded by a group, raising a challenging point while others listen attentively."
private eye,idiomatic,A private detective.,"If you want dirt, the private eye suggested, you should steal the man's garbage.","A mysterious figure in a trench coat and fedora, peering through binoculars from behind a lamppost, with a notebook and camera in hand."
private eye,literal,A personal eye belonging to someone.,He kept his private eye covered with a patch after the surgery.,"A close-up of a person with one eye covered by a medical patch, their uncovered eye looking intently forward."
pipe dream,idiomatic,An unrealistic or impractical idea or hope.,"The result is that whether you sleep on your back or your side, the ultimate night's sleep is no longer a pipe dream.","A surreal, dreamlike scene with floating beds in a starry sky, surrounded by whimsical clouds, symbolizing unattainable desires."
pipe dream,literal,A dream experienced while smoking a pipe.,"As he dozed off in the chair, his pipe dream conjured images of smoky forests and winding trails.","A man reclined in a chair by a fireplace, with smoke curling from his pipe, creating a forested scene in the air."
piece of cake,literal,A slice or portion of a cake.,"He picked up the piece of cake and took a large bite, chewing noisily.","A colorful slice of layered cake on a plate, with a fork beside it, surrounded by crumbs."
piece of cake,idiomatic,Something very easy to do.,Finishing the exam was a piece of cake for her after all the preparation.,"A student confidently filling out an exam sheet, with a celebratory cake icon subtly in the background to indicate ease."
rocket science,idiomatic,Something very complicated or difficult to understand (often used sarcastically).,"This isn't rocket science: he talks about basic business skills like negotiation, time management and creativity.","A person at a desk with a simple chart and calculator, looking puzzled while sarcastically holding a book labeled ""Rocket Science for Beginners."""
rocket science,literal,The science involved in designing and building rockets.,The engineering students were studying rocket science to prepare for careers in the aerospace industry.,"A futuristic laboratory with students working on a large rocket prototype, surrounded by blueprints and computers."
brass ring,literal,A physical ring made of brass.,A composite gaming chip which includes a strong frame made of a brass ring with axial protrusions and a central aperature with notches.,"A close-up of a gleaming brass ring on a table, surrounded by technical tools and diagrams."
brass ring,idiomatic,A significant or highly sought-after opportunity or prize.,She reached for the brass ring when she applied for her dream job.,"A woman confidently stepping into an office building labeled ""Dream Job Opportunities,"" with a glowing brass ring symbol above the entrance."
apples and oranges,literal,"Actual fruits, apples and oranges.","Another one of us asked parents to cut up different types of apples and oranges, taste them, talk about their differences and go through a range of other experiences.","A vibrant fruit basket containing sliced apples and peeled oranges, placed on a wooden kitchen table."
apples and oranges,idiomatic,Things that are fundamentally different and cannot be compared.,Comparing their job roles is like comparing apples and oranges; they're in completely different industries.,"A split image with an apple orchard on one side and an orange grove on the other, highlighting the fundamental differences."
nest egg,idiomatic,A sum of money saved for the future.,Some would be better off with no insurance and using the money saved to build a nest egg to see them through lean times or pay off their debt.,"A piggy bank on a desk with a nest around it, symbolizing savings and security for the future."
nest egg,literal,An egg placed in a bird's nest to encourage laying.,The farmer placed a wooden nest egg in the coop to encourage the hens to lay more eggs.,A close-up of a wooden egg nestled in a bird’s nest surrounded by straw and feathers.
ghost town,literal,"A deserted town, often believed to be haunted.","Our wanderings had led us perilously close to the walls of the ghost town where restless spirits haunted the streets, eager to absorb the vitatlity of the living.","A deserted town with broken-down buildings, a foggy atmosphere, and ghostly figures lurking in the shadows."
ghost town,idiomatic,A place that is empty and lifeless.,The shopping mall became a ghost town after the new one opened nearby.,"An abandoned shopping mall with empty hallways, broken signs, and dim lighting, emphasizing desolation."
bull market,idiomatic,A market in which prices are rising or expected to rise.,The three year bull market in equities has certainly boosted the fortunes of these companies by increasing the value of their assets.,"A stock market graph with upward arrows, and a strong bull icon symbolizing economic growth."
bull market,literal,A market where bulls or cattle are traded.,The local farmers gathered at the bull market to buy and sell livestock.,"A bustling outdoor market with farmers and bulls in pens, surrounded by hay bales and rural scenery."
beached whale,idiomatic,"Someone or something that is stuck, helpless, or immobile.","One scene is the Strip, which he described as a beached whale, and the neighborhood dining scene, which is making successful efforts to adapt.","A person lying on a couch surrounded by clutter, unable to move, symbolizing being stuck or helpless."
beached whale,literal,A whale that has become stranded on a beach.,The marine rescue team worked tirelessly to save the beached whale by guiding it back into the ocean.,"A large whale stranded on the sand near the shore, with rescuers spraying water to keep it cool."
flower child,literal,A child representing or resembling a flower.,"Players take on the role of a young flower child, with customisation options to alter the appearance of their petals and leaves.","A whimsical child-like character with a flower for a head, petals as arms, and green leafy clothing in a magical garden."
flower child,idiomatic,"A hippie, especially from the 1960s.","She was a true flower child, spreading messages of peace and love at every music festival.","A young person wearing a floral headband and tie-dye clothing, standing in a sunny field with peace signs and a guitar."
copy cat,literal,A cat that mimics or imitates behavior.,"The playful kitten, a miniature copy cat, mimicked the yoga poses of its human owner, its tiny paws mirroring the intricate movements.",A curious kitten striking a playful pose on a yoga mat next to its owner in a matching stance.
copy cat,idiomatic,Someone who imitates another person’s actions or style.,Stop being such a copy cat and come up with your own ideas for the project.,"Two children sitting at desks, one looking over and copying the other’s homework."
lounge lizard,idiomatic,"A man who frequents nightclubs, often seen as sleazy or ingratiating.","Barry was the first, an archetypal lounge lizard in his shiny suit and overpowering aftershave; I met him in my local nightclub.","A man in a shiny suit leaning on a bar counter under dim, neon lights in a nightclub, holding a cocktail and flashing a sly grin."
lounge lizard,literal,A lizard lounging in a relaxed position.,"The lounge lizard basked under the heat lamp, barely moving a muscle.","A relaxed lizard stretched out on a flat rock under a heat lamp in a terrarium, eyes half-closed."
secret santa,literal,A Santa Claus acting secretly.,"St Nicholas becomes a secret santa in this fun adventure, going undercover to keep an eye on the elves in his workshop.","A cartoon-style Santa Claus sneaking around a toy workshop, hiding presents under a table with a finger to his lips."
secret santa,idiomatic,A person who anonymously gives a gift as part of a holiday tradition.,"At the office party, my secret Santa surprised me with a handmade scarf that perfectly matched my winter coat.","A festive office setting with employees exchanging wrapped gifts, one person smiling in surprise at an anonymously labeled present."
dirty word,literal,A word written or drawn in dirt or mud.,"They traced the letters onto the window in mud with their fingers, forming a dirty word which they hoped would lead the others to their location.","A dusty window with the word ""Help"" finger-drawn in dirt, surrounded by smudges."
dirty word,idiomatic,A taboo or offensive word considered inappropriate in polite conversation.,"The phrase ""budget cuts"" has become a dirty word in education circles.","A chalkboard in a school setting with the phrase ""Budget Cuts"" written and crossed out, symbolizing its taboo nature."
close shave,literal,"A very close or precise cut or shave, typically using a razor.","This kind of close shave is optimal for many men, but for others can contribute to skin irritation or a propensity for ingrown hairs.","A man closely shaving his face with a straight razor in a bathroom mirror, with shaving cream lathered on his face."
close shave,idiomatic,A narrow escape from danger or disaster.,"That was a close shave—if the car had swerved any closer, it would have hit us.","A speeding car narrowly avoiding a pedestrian, with both parties visibly startled."
donkey work,literal,"Physical work done by donkeys, such as carrying heavy loads.",We have the donkey work from the stable if it is raining because it is the only shelter we have.,"A group of donkeys carrying sacks of goods along a rugged trail, led by a farmer in a raincoat."
donkey work,idiomatic,"Hard, tedious, or monotonous work.",She did all the donkey work for the project while her boss took the credit.,"A worker sitting at a cluttered desk filled with paperwork, looking exhausted while a manager stands nearby with a relaxed demeanor."
bear market,idiomatic,A market in which prices are falling or expected to fall.,"Our exposure to technology, sector bets, and decision to increase equity exposure during the depth of the bear market helped position the fund to outperform.","A stock market graph with downward arrows, a bear symbol looming in the background to represent declining trends."
bear market,literal,A market where bears or cattle are traded.,"The bear market was bustling, with traders bartering over the price of exotic animals.","An outdoor market filled with animal pens, bears behind protective barriers, and traders negotiating over prices."
top dog,literal,The dominant or most important dog in a group or pack.,The top dog in the neighborhood seemed to be guarding the alley from passing cats all day.,"A strong, confident dog standing on a hill in a park, with smaller dogs looking up at it in admiration."
top dog,idiomatic,A person or group that is dominant or in charge.,"After years of hard work, she became the top dog in her company.","A confident woman standing at the top of a corporate ladder, with people below looking up at her."
dog's dinner,literal,Food prepared for a dog to eat.,"Whether your kitty is tempted to sneak a bite of your dog's dinner or you've run out of cat food, you may be wondering if cats can eat dog food.","A shiny dog bowl filled with kibble and a bone, placed on a kitchen floor with a dog sitting nearby, wagging its tail."
dog's dinner,idiomatic,A mess or something poorly done.,"His attempt at fixing the plumbing was a dog's dinner, and we had to call in a professional.","A chaotic scene with tools, leaking pipes, and water spilling everywhere, symbolizing a poorly done repair job."
white hat,idiomatic,"Refers to ethical and good practices, often in cybersecurity or technology.","We only use white hat, ethical search engine optimization techniques that will lead to long term success and unlike many SEO firms we will never use any tactics that have a risk of harming your site.","A professional hacker in a bright, clean office, wearing a white hat while coding on a computer."
white hat,literal,A hat that is white in color.,"The cowboy wore a white hat as he rode into the sunset, symbolizing his role as the hero.","A cowboy wearing a crisp white hat, riding a horse into a glowing sunset in a desert landscape."
smoking gun,idiomatic,Clear or undeniable evidence of wrongdoing or guilt.,"This really is the smoking gun of a watery past for Mars, says David Grinspoon, principal scientist at the Southwest Research Institute in Boulder.","A courtroom scene with a lawyer pointing to a piece of undeniable evidence, such as a photograph or document."
smoking gun,literal,A gun that is still emitting smoke after being fired.,"The detective walked in and found a smoking gun on the table, confirming that it had just been used.","A close-up of a revolver resting on a wooden table, with a wisp of smoke rising from the barrel."
old flame,idiomatic,A former romantic partner.,She ran into an old flame at the high school reunion.,"A man and woman meeting at a reunion, exchanging a nostalgic smile, with a soft glow symbolizing their past connection."
old flame,literal,A flame that has burned for a long time.,"The old flame in the fireplace glowed warmly, giving the cabin a cozy atmosphere.","A glowing, crackling flame in an old stone fireplace, illuminating a rustic room."
zebra crossing,literal,"A road crossing designed with black and white stripes, resembling a zebra.","Our driver had to brake hard when we encountered a zebra crossing the road, looking for fresh grazing.","A zebra walking across a dirt road in a safari setting, with a car stopped in the background."
zebra crossing,idiomatic,A pedestrian crossing marked with alternating black and white stripes.,The children waited patiently before crossing the zebra crossing safely.,A busy city street with pedestrians walking on a clearly marked black-and-white striped crossing.
eye candy,literal,Candies or treats shaped like eyes.,"There was plenty of delicious eye candy on offer at the Halloween party, and the group enjoyed eating the various themed snacks on display.","A bowl of Halloween-themed candies shaped like eyeballs, with decorative spooky elements in the background."
eye candy,idiomatic,Something visually attractive but without much depth or substance.,"The blockbuster movie was pure eye candy, with stunning visuals but a weak storyline.","A theater marquee with a vibrant poster for a visually dazzling but superficial movie, with viewers looking impressed but uninterested."
ivory tower,idiomatic,"A metaphorical place where people are disconnected from the real world, often used to describe academics or intellectuals.",Recently the globalization adversaries emerged; the experts at the universities had to abandon their ivory towers and present their research at the market place in order to rebuild public confidence.,"A tall, pristine tower with academics looking down, disconnected from a bustling city below."
ivory tower,literal,A tower made of ivory.,The ancient king had a magnificent ivory tower built as a monument to his reign.,"A gleaming white tower made of ivory, standing on a hill surrounded by lush greenery and an admiring crowd."
black sheep,idiomatic,A person who is considered an outcast or disgrace in their family or group.,"While DS9 was looked at as the black sheep of the Star Trek franchise for many years, it has found a renewed and dedicated fanbase thanks to Netflix.","A family photo where one individual stands apart, looking different and slightly isolated, symbolizing being the odd one out."
black sheep,literal,A sheep with black wool.,The black sheep stood out in the flock of mostly white and brown sheep.,"A picturesque green field with a flock of white and brown sheep grazing, with a single black sheep in the center."
armchair critic,literal,Someone who criticizes or gives advice on something they have little or no practical experience with.,"The magazine, aimed at trendy homeowners, publishes furniture reviews by its resident armchair critic alongside coffee preparation tips.","A person sitting in a luxurious armchair, holding a notepad and pen, analyzing the quality of the chair."
armchair critic,idiomatic,A critic who physically sits in an armchair.,"The magazine, aimed at trendy homeowners, publishes furniture reviews by its resident armchair critic alongside coffee preparation tips.","A person lounging in a comfortable armchair, surrounded by snacks and watching TV, pointing at the screen in critique."
gravy train,idiomatic,A situation where someone earns money with little or no effort.,It represented them having signed away their birthright so that they can join their fellow politicians on the gravy train.,"A luxurious train with people inside enjoying lavish meals and lounging in opulence, symbolizing effortless wealth."
gravy train,literal,A train carrying or serving gravy.,The themed restaurant had a novelty gravy train that delivered sauces to each table.,"A small model train with tiny compartments filled with different types of gravy, traveling along a track on a dining table."
rat race,idiomatic,"A competitive and stressful way of life, especially in the corporate or urban world.","Get the heck out of the rat race, move to rural America, plant a huge garden, raise chickens, and keep a year's worth of food in the root cellar.","A crowded urban office with workers rushing around, carrying briefcases and looking stressed, symbolizing high competition."
rat race,literal,A race involving rats.,The science fair included an experiment with a rat race to measure their speed and decision-making abilities.,A group of lab rats in a small maze-like track with people observing and timing their progress.
hot potato,literal,A potato that is hot in temperature.,"The kransky wasn't amazing, and the poached eggs were good, but the apple compote as well as the hot potato and cauliflower slaw were great.","A steaming baked potato on a plate, with butter melting into it and steam rising visibly."
hot potato,idiomatic,A controversial or difficult issue that is hard to handle or deal with.,The topic of climate change has become a political hot potato that no one wants to address directly.,"A group of politicians in a heated debate, with one holding a glowing, steaming potato as a symbolic representation of a contentious issue."
spring chicken,idiomatic,A young and energetic person (often used in the negative to refer to someone older).,Paice is no spring chicken and what he lacked in raw speed he made up with flair and aesthetic.,"An older person confidently jogging in a park, symbolizing vitality despite age."
spring chicken,literal,A young chicken in spring.,The farmer raised a healthy spring chicken that roamed freely in the fields.,"A young chicken wandering in a sunny green field, surrounded by blooming spring flowers."
love triangle,literal,A triangular-shaped symbol or object associated with love.,"At the craft fair, the artist sold pendants shaped like a love triangle, with each side adorned with intricate heart patterns.","A shiny pendant in the shape of a triangle, with small engraved hearts along each side, displayed on a velvet stand."
love triangle,idiomatic,A situation involving romantic relationships among three people.,"The movie’s plot revolved around a dramatic love triangle between the protagonist, her fiancé, and her best friend.","Three people standing in a dramatic setting with visible tension, two vying for the attention of one, forming a symbolic triangle."
black box,literal,A box that is black in color.,The unit is encased in an attractive anodized black box that provides EMI/RFI shielding and allows for secure mounting with its threaded inserts on the bottom of its chassis.,"A sleek, jet-black rectangular box on a workshop bench, with tools and screws around it, indicating a high-tech design."
black box,idiomatic,A device or process whose internal workings are unknown or not understood.,"The algorithm operated like a black box, producing results without explaining the reasoning behind them.","A sealed, opaque box on a desk, surrounded by question marks, with arrows indicating inputs and outputs but no visible workings inside."
hen party,literal,A gathering of hens.,"In the barnyard, the hens gathered for their early morning hen party, pecking at the scattered feed and clucking excitedly.","A group of hens clucking together in a cozy barnyard, surrounded by feed and straw, with a warm sunlight glow."
hen party,idiomatic,"A bachelorette party, typically attended by women before one of them gets married.",The bride-to-be had a wild hen party with her friends the night before her wedding.,"A group of women laughing and dancing in a festive room decorated with balloons, streamers, and a ""Bride-to-Be"" banner."
acid test,literal,A chemical test that determines the presence of acid or its reactivity.,"There are qualitative chemical physiologies, for example, the acid test for gold and the Kastle-Meyer test for the presence of blood.",A scientist in a lab coat carefully dropping a liquid onto a strip of material to observe a chemical reaction.
acid test,idiomatic,A conclusive test or critical evaluation of worth or effectiveness.,The acid test for the new software will be whether it can handle thousands of users simultaneously.,"A computer system under a simulated heavy load, with technicians monitoring graphs and performance indicators on screens."
inner circle,idiomatic,"A small, exclusive group of people close to a leader or authority figure.",Formal or informal contacts with the prime minister or his inner circle are now greatly prized by the persuaders.,"A close group of individuals gathered around a leader at a round table in a private, high-security meeting."
inner circle,literal,"A physically smaller, enclosed circular space or shape.","The children sat in the inner circle of the playground, singing songs and clapping their hands.","A playground scene with children sitting in concentric circles, the innermost group singing happily."
bad apple,idiomatic,A person who negatively influences a group or organization.,"The problem for them, of course, is how to explain how these few bad apples managed to stay in place for so many years.","A basket of apples, with one visibly rotten and emitting dark vapors, symbolizing its negative influence on the others."
bad apple,literal,An apple that has gone bad or is rotten.,The bad apple in the basket spoiled the fresh smell of the fruit around it.,"A close-up of a decayed apple in a fruit basket, with its skin darkened and spots of mold visible."
honey trap,idiomatic,"A deceptive scheme where someone is lured into compromising situations, often involving romance.",Thousands of people are turning to the internet for more information - leading them straight into the honey trap set up by cybercriminals.,"A person sitting at a computer, with a bright, alluring message on the screen, symbolizing a trap, while shadowy figures lurk behind."
honey trap,literal,A trap or container designed to collect honey.,The beekeeper used a honey trap to collect excess honey from the hive.,"A wooden frame filled with honeycomb dripping golden honey, placed in a sunny apiary setting with bees buzzing around."
pins and needles,literal,Actual pins and needles used for sewing or other activities.,"I did a sweep for stray pins and needles and packaged up the tissue paper pattern pieces, folding along my muslin adjustments with them.","A sewing kit with colorful thread spools, straight pins, and needles placed neatly on a wooden table."
pins and needles,idiomatic,"A tingling sensation in a part of the body, often caused by restricted blood flow.",I had pins and needles in my leg after sitting awkwardly for too long.,"A person massaging their leg, with small lightning bolts and tingling sensations illustrated on the affected area."
bun in the oven,literal,A bun being warmed in an oven.,Popping a stale bun in the oven for a few minutes will let you make tasty lunches for an extra day or two.,"A golden-brown bun placed on a baking tray inside a glowing oven, with steam rising as it bakes."
bun in the oven,idiomatic,A humorous way of saying someone is pregnant.,"She announced to her family that she had a bun in the oven, and everyone was overjoyed.","A smiling pregnant woman standing in a kitchen, with an oven in the background and a glowing outline of a bun subtly visible."
loan shark,literal,"A shark associated with the concept of loans, often in a fictional or metaphorical sense.",Our mermaid heroine visits a loan shark which offers her the shells she needs in exchange for repayment and a favor once she becomes queen.,"A whimsical cartoon of an underwater shark wearing glasses and holding a stack of coins, with a mermaid negotiating terms."
loan shark,idiomatic,"A person or entity that lends money at very high interest rates, often illegally.",The struggling business owner was forced to borrow from a loan shark to keep the company afloat.,"A shadowy figure in a suit handing over money to a worried person in a dimly lit alley, with a sinister smile."
open book,idiomatic,Someone or something that is easy to understand or transparent.,"Our conversation was wide-ranging and candid as, unlike other CEOs, Rénier was an open book and willing to speak about anything that came her way.","A person sitting at a desk with a book on the table, their expression warm and inviting, symbolizing openness and transparency."
open book,literal,A book that is physically open and available to read.,"The open book lay on the table, revealing a chapter filled with vivid illustrations of ancient ruins","A large, open book with colorful illustrations and text visible, lying on a wooden table in a quiet library."
baby blues,idiomatic,A mild depression or sadness experienced by a woman shortly after childbirth.,"However, the symptoms of baby blues are mild and usually disappear after a couple of weeks.","A new mother sitting quietly in a nursery, looking thoughtful while holding her baby, with soft blue tones in the background to convey mood."
baby blues,literal,"A pair of blue eyes, often described affectionately.",The newborn gazed at her mother with big baby blues that melted everyone's hearts.,"A close-up of a baby’s bright blue eyes, with soft lighting to enhance the warmth and affection."
silver bullet,literal,"A bullet made of silver, often associated with folklore or legends.",Chastel had loaded a custom made silver bullet into his gun with which he fired on the creature and killed the beast with a single shot.,"A close-up of a shiny, engraved silver bullet resting on a velvet cloth, with a dark, mysterious background."
silver bullet,idiomatic,"A simple, seemingly magical solution to a complex problem.","Unfortunately, there’s no silver bullet for solving the housing crisis—it requires systemic changes.","A metaphorical glowing silver bullet floating above a complex cityscape, symbolizing an elusive solution."
brain surgery,idiomatic,Something very difficult or complex to understand (often used sarcastically).,"The know-how necessary to keep physicians financially healthy might not be brain surgery, but it can be cumbersome and complicated.","A person confidently solving a puzzle at a desk, with the sarcastic phrase ""Not Brain Surgery"" on a sign in the background."
brain surgery,literal,A medical procedure performed on the brain.,The patient underwent brain surgery to remove a tumor that was causing severe headaches.,"A surgical team in scrubs and masks performing a delicate operation in a sterile operating room, with monitors displaying brain activity."
red flag,idiomatic,A warning sign of potential problems or danger.,"The biggest red flag of all, though, was that neither newspaper ever linked to the supposed study of violence in teenagers.","A person holding a metaphorical red flag in a decision-making setting, such as a job interview or relationship scene."
red flag,literal,"A flag that is red in color, often used as a warning signal.",The lifeguards raised a red flag on the beach to warn swimmers of dangerous currents.,"A red flag fluttering on a pole at a sunny beach, with waves crashing in the background and warning signs nearby."
white elephant,idiomatic,"A possession that is more trouble than it is worth, often due to high costs or impracticality.",Miami's original Metrorail line was a white elephant when it was built and it remains one today.,"A large, shiny but impractical train system with few passengers, surrounded by overgrown plants and signs of neglect."
white elephant,literal,"A literal elephant that is white in color, often considered rare.",The ancient king displayed a rare white elephant as a symbol of his wealth and power.,"A majestic white elephant adorned with golden decorations standing proudly in a royal courtyard, surrounded by admiring onlookers."
two-way street,literal,A street that allows traffic to move in both directions.,"In many cases, two-way streets result in twice as many pedestrian accidents as one way.","A bustling urban street with cars traveling in both directions, and pedestrians waiting at a crosswalk."
two-way street,idiomatic,"A situation where mutual effort, compromise, or action is required from both parties.",Communication in a relationship is a two-way street; both partners need to express themselves and listen.,"A road with two arrows pointing in opposite directions, with a couple walking hand-in-hand on each side of the street, symbolizing mutual effort."
rat run,idiomatic,"A shortcut or side street used by drivers to avoid traffic, often causing inconvenience to residents.","Residents were concerned about speeding vehicles, including the delivery lorries and the road being used as a rat run.","A narrow residential street filled with speeding cars, with worried residents looking on from their doorsteps."
rat run,literal,"A controlled environment or pathway for rats, often used for experiments.",The scientist observed the rat run to study the animal's problem-solving behavior.,"A laboratory setting with a clear plastic maze where a rat is navigating toward a piece of cheese, with a researcher taking notes."
graveyard shift,idiomatic,A work shift that takes place during the late night and early morning hours.,He moved from the 10 pm slot to his lower profile life as a DJ on Radio Norwich's graveyard shift.,"A dimly lit office with a tired worker at their desk, illuminated by the glow of a computer monitor, with a clock showing 3 a.m."
graveyard shift,literal,A shift or duty performed in a literal graveyard.,"The graveyard caretaker worked the graveyard shift, keeping watch over the tombstones through the eerie silence of the night.","A solitary figure with a lantern walking through a moonlit graveyard, surrounded by rows of tombstones and mist."
dirty money,idiomatic,Money obtained through illegal or unethical means.,"When dirty money disappears offshore, it becomes more difficult for governments to tackle corruption.","A briefcase filled with stacks of cash, partially hidden under a desk, with shadowy figures exchanging it in the background."
dirty money,literal,Money that is physically dirty or soiled.,"The cashier hesitated to accept the dirty money, as it was covered in grime from being buried underground.","A crumpled and grimy dollar bill lying on a dusty surface, with smudges and dirt clearly visible."
high life,idiomatic,A luxurious and extravagant lifestyle.,It just showed how she still lived the high life while everyone else endured rationing.,"A lavish rooftop party scene with well-dressed individuals, champagne glasses, and a sparkling city skyline in the background."
high life,literal,A lifestyle characterized by high elevation or altitude.,"Living in the mountain resort gave her a taste of the literal high life, surrounded by snow-capped peaks and fresh air.","A cozy chalet perched on a mountain, surrounded by towering snow-covered peaks under a clear blue sky."
pain in the neck,idiomatic,An annoying or bothersome person or situation.,"It usually causes high temperature and pain in the neck, jaw or ear.","A frustrated office worker surrounded by stacks of paperwork, holding their neck in exasperation."
pain in the neck,literal,Physical pain located in the neck.,Dealing with constant paperwork can be such a pain in the neck.,"A person sitting on a chair, massaging their neck while wincing in pain, with a heating pad draped over their shoulders."
guinea pig,idiomatic,A person who is used as a subject in experiments or tests.,"A former resident of one of the homes said she was used as a guinea pig for vaccines at a home in Cork, before being adopted in 1961.","A person sitting in a laboratory with electrodes attached to their head, surrounded by scientists taking notes, symbolizing experimentation."
guinea pig,literal,A small rodent often used in scientific experiments or kept as a pet.,The child was thrilled to adopt a guinea pig and named it after her favorite cartoon character.,"A cute guinea pig sitting in a small cage, nibbling on a piece of lettuce, with a child smiling nearby."
cat's eyes,idiomatic,"Reflective devices used on roads to guide drivers, especially at night.",American roads in the South do have cat's eyes but we don't have them in regions with snow because the plows would scrape them up every winter.,"A nighttime road scene with reflective markers glowing in the headlights of a car, guiding the way."
cat's eyes,literal,"The eyes of a cat, often admired for their reflective quality and sharpness.",The cat’s eyes glowed eerily in the dark as it perched silently on the windowsill.,"A close-up of a cat’s glowing green-yellow eyes in a dimly lit room, with a faint silhouette of the cat visible."
cold turkey,literal,Turkey meat that has been chilled or refrigerated.,"When you're serving cold turkey, take out only as much as you're going to use and put the rest back in the fridge.","Sliced turkey meat served on a platter with garnish, with visible frost on the edges to emphasize its coldness."
cold turkey,idiomatic,"Abruptly stopping a habit, particularly drug or alcohol addiction, without tapering off.","He quit smoking cold turkey, and the withdrawal symptoms hit him hard for the first few weeks.","A person sitting alone at a table, holding their head in their hands, with a broken cigarette lying in front of them, symbolizing abrupt withdrawal."
