compound;sentence_type;Meaning;sentence
pain in the neck;idiomatic;n annoying or bothersome person or situation.;It usually causes high temperature and pain in the neck, jaw or ear.
pain in the neck;literal;Physical pain located in the neck.;It usually causes high temperature and pain in the neck, jaw, or ear.
guinea pig;idiomatic;A person who is used as a subject in experiments or tests.;A former resident of one of the homes said she was used as a guinea pig for vaccines at a home in Cork, before being adopted in 1961.
guinea pig;literal;A small rodent often used in scientific experiments or kept as a pet.;The child was thrilled to adopt a guinea pig and named it after her favorite cartoon character.
cat's eyes;idiomatic;Reflective devices used on roads to guide drivers, especially at night.;American roads in the South do have cat's eyes but we don't have them in regions with snow because the plows would scrape them up every winter.
cat's eyes;literal;The eyes of a cat, often admired for their reflective quality and sharpness.;The cat’s eyes glowed eerily in the dark as it perched silently on the windowsill.
cold turkey;literal;Turkey meat that has been chilled or refrigerated.;When you're serving cold turkey, take out only as much as you're going to use and put the rest back in the fridge.
cold turkey;idiomatic;Abruptly stopping a habit, particularly drug or alcohol addiction, without tapering off.;He quit smoking cold turkey, and the withdrawal symptoms hit him hard for the first few weeks.
low-hanging fruit;idiomatic;Tasks or opportunities that are easy to achieve or take advantage of.;Howard said there was a lot of low-hanging fruit to be found in customers who have large back-office teams ready for automation.
low-hanging fruit;literal;Fruit that is low enough on a tree to be easily picked.;The farmer instructed the children to pick the low-hanging fruit first before using ladders to reach the higher branches.
busy bee;idiomatic;A person who is very active, energetic, and always working on tasks.;There's no need to worry if you're a busy bee - even just 10 minutes of meditation can bring many benefits.
busy bee;literal;A bee that is actively working or gathering nectar.;The busy bee darted from flower to flower, collecting nectar to take back to the hive.
wet blanket;literal;A blanket that is wet, often used to extinguish fires or for other practical purposes.;Wet blankets draped over neighboring cabins prevented the fire from spreading.
wet blanket;idiomatic;A person who dampens others’ enthusiasm or excitement.;He was such a wet blanket at the party, constantly complaining about the music and food.
chicken feed;literal;Food specifically meant for chickens.;Feed pets inside and do not leave pet, livestock or chicken feed outside.
chicken feed;idiomatic;A very small amount of money, often insignificant in the context of a larger transaction.;The compensation they offered for such a big project was nothing more than chicken feed.
